,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
51961,3.0,江西,46479999.994,0.005,0.001,0.0,28.422473636363634,116.2816772727273
52592,3.0,河北,75559999.998,0.001,0.0,0.0,39.43456181818181,116.94264636363637
53321,3.0,河南,96049999.985,0.013,0.002,0.0,34.62354470588235,114.39410823529411
54127,3.0,浙江,57369999.998,0.002,0.0,0.0,30.10409363636364,120.86088727272727
54717,3.0,海南,9340000.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
55485,3.0,湖北,59169880.908,131.115,69.569,18.408,31.060170000000003,113.48653125000003
56281,3.0,湖南,68989999.987,0.011,0.002,0.0,28.16187230769231,112.56216384615384
56923,3.0,甘肃,26370000.0,0.0,0.0,0.0,37.30401,103.87728333333332
57783,3.0,福建,39409999.998,0.002,0.0,0.0,26.142049999999998,118.73027333333334
58378,3.0,西藏,3439999.999,0.001,0.0,0.0,,
58379,3.0,贵州,35999999.999,0.001,0.0,0.0,27.496083333333335,107.00552
58907,3.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
59682,3.0,重庆,31019999.992,0.007,0.001,0.0,31.947670000000002,109.8788
59685,3.0,陕西,38639999.997,0.002,0.0,0.0,35.282599000000005,109.596947
60480,3.0,青海,6029999.999,0.001,0.0,0.0,36.88553,102.31702999999999
60554,3.0,黑龙江,37730000.0,0.0,0.0,0.0,47.34939249999999,130.2335575
61372,4.0,上海,24239999.997,0.002,0.001,0.0,31.6229,121.54409
61376,4.0,云南,48299999.999,0.001,0.0,0.0,25.904379999999996,102.30507500000002
62048,4.0,内蒙古,25339999.998,0.002,0.0,0.0,,
62049,4.0,北京,21539999.996,0.003,0.001,0.0,40.45678,117.12141000000001
62052,4.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
62751,4.0,四川,83409999.996,0.003,0.001,0.0,30.53237777777778,105.2965627777778
63624,4.0,天津,15599999.999,0.001,0.0,0.0,40.045770000000005,117.82478
