,day,susceptics,exposed,infected,recover,province_y,province_en
164,5,100469999,0,0,0,山东省,Shandong
165,5,37179999,0,0,0,山西省,Shanxi
166,5,113459999,0,0,0,广东省,Guangdong
167,5,49259999,0,0,0,广西壮族自治区,Guangxi
168,5,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
169,5,80509999,0,0,0,江苏省,Jiangsu
170,5,46479999,0,0,0,江西省,Jiangxi
171,5,75559999,0,0,0,河北省,Hebei
172,5,96049999,0,0,0,河南省,Henan
173,5,57369999,0,0,0,浙江省,Zhejiang
174,5,9339999,0,0,0,海南省,Hainan
175,5,59169997,1,0,0,湖北省,Hubei
176,5,68989999,0,0,0,湖南省,Hunan
177,5,26369999,0,0,0,甘肃省,Gansu
178,5,39409999,0,0,0,福建省,Fujian
179,5,3439999,0,0,0,西藏自治区,Tibet
180,5,35999999,0,0,0,贵州省,Guizhou
181,5,43589999,0,0,0,辽宁省,Liaoning
182,5,31019999,0,0,0,重庆声,Chongqing
183,5,38639999,0,0,0,陕西省,Shaanxi
184,5,6029999,0,0,0,青海省,Qinghai
185,5,37729999,0,0,0,黑龙江省,Heilongjiang
186,6,24239999,0,0,0,上海市,Shanghai
187,6,48299999,0,0,0,云南省,Yunnan
188,6,25339999,0,0,0,内蒙古自治区,Inner Mongolia
189,6,21539999,0,0,0,北京市,Beijing
190,6,27039999,0,0,0,吉林省,Jilin
191,6,83409999,0,0,0,四川省,Sichuan
192,6,15599999,0,0,0,天津市,Tianjin
193,6,6879999,0,0,0,宁夏回族自治区,Ningxia
194,6,63239999,0,0,0,安徽省,Anhui
195,6,100469999,0,0,0,山东省,Shandong
196,6,37179999,0,0,0,山西省,Shanxi
197,6,113459999,0,0,0,广东省,Guangdong
198,6,49259999,0,0,0,广西壮族自治区,Guangxi
199,6,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
200,6,80509999,0,0,0,江苏省,Jiangsu
201,6,46479999,0,0,0,江西省,Jiangxi
202,6,75559999,0,0,0,河北省,Hebei
203,6,96049999,0,0,0,河南省,Henan
204,6,57369999,0,0,0,浙江省,Zhejiang
205,6,9339999,0,0,0,海南省,Hainan
206,6,59169997,1,0,0,湖北省,Hubei
207,6,68989999,0,0,0,湖南省,Hunan
208,6,26369999,0,0,0,甘肃省,Gansu
209,6,39409999,0,0,0,福建省,Fujian
210,6,3439999,0,0,0,西藏自治区,Tibet
211,6,35999999,0,0,0,贵州省,Guizhou
212,6,43589999,0,0,0,辽宁省,Liaoning
213,6,31019999,0,0,0,重庆声,Chongqing
214,6,38639999,0,0,0,陕西省,Shaanxi
215,6,6029999,0,0,0,青海省,Qinghai
216,6,37729999,0,0,0,黑龙江省,Heilongjiang
217,7,24239999,0,0,0,上海市,Shanghai
218,7,48299999,0,0,0,云南省,Yunnan
219,7,25339999,0,0,0,内蒙古自治区,Inner Mongolia
220,7,21539999,0,0,0,北京市,Beijing
221,7,27039999,0,0,0,吉林省,Jilin
222,7,83409999,0,0,0,四川省,Sichuan
223,7,15599999,0,0,0,天津市,Tianjin
224,7,6879999,0,0,0,宁夏回族自治区,Ningxia
225,7,63239999,0,0,0,安徽省,Anhui
226,7,100469999,0,0,0,山东省,Shandong
227,7,37179999,0,0,0,山西省,Shanxi
228,7,113459999,0,0,0,广东省,Guangdong
229,7,49259999,0,0,0,广西壮族自治区,Guangxi
230,7,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
231,7,80509999,0,0,0,江苏省,Jiangsu
232,7,46479999,0,0,0,江西省,Jiangxi
233,7,75559999,0,0,0,河北省,Hebei
234,7,96049999,0,0,0,河南省,Henan
235,7,57369999,0,0,0,浙江省,Zhejiang
236,7,9339999,0,0,0,海南省,Hainan
237,7,59169996,2,1,0,湖北省,Hubei
238,7,68989999,0,0,0,湖南省,Hunan
239,7,26369999,0,0,0,甘肃省,Gansu
240,7,39409999,0,0,0,福建省,Fujian
241,7,3439999,0,0,0,西藏自治区,Tibet
242,7,35999999,0,0,0,贵州省,Guizhou
243,7,43589999,0,0,0,辽宁省,Liaoning
244,7,31019999,0,0,0,重庆声,Chongqing
245,7,38639999,0,0,0,陕西省,Shaanxi
246,7,6029999,0,0,0,青海省,Qinghai
247,7,37729999,0,0,0,黑龙江省,Heilongjiang
248,8,24239999,0,0,0,上海市,Shanghai
249,8,48299999,0,0,0,云南省,Yunnan
250,8,25339999,0,0,0,内蒙古自治区,Inner Mongolia
251,8,21539999,0,0,0,北京市,Beijing
252,8,27039999,0,0,0,吉林省,Jilin
253,8,83409999,0,0,0,四川省,Sichuan
254,8,15599999,0,0,0,天津市,Tianjin
255,8,6879999,0,0,0,宁夏回族自治区,Ningxia
256,8,63239999,0,0,0,安徽省,Anhui
257,8,100469999,0,0,0,山东省,Shandong
258,8,37179999,0,0,0,山西省,Shanxi
259,8,113459999,0,0,0,广东省,Guangdong
260,8,49259999,0,0,0,广西壮族自治区,Guangxi
261,8,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
262,8,80509999,0,0,0,江苏省,Jiangsu
263,8,46479999,0,0,0,江西省,Jiangxi
264,8,75559999,0,0,0,河北省,Hebei
265,8,96049999,0,0,0,河南省,Henan
